CODEMPRESA;RAZAOSOCIAL;NOMEFANTASIA;CEP;NUMCNPJCPF;DATACADASTRO;TOTALVENDAS;MEDIAJUROS;DIASATRASO;Data Abertura CNPJ;Capital Social;Natureza Jurídica;Porte;CNAE's;Latitude;Longitude;NvlImportanciaGEO;Região
375;ORTOMED COMERCIO EIRELI;ORTOMED;30730500;24253574000130;2021-01-08 12:17:38;0.0;0.0;0.0;2016-02-25T00:00:00;95400;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);01;['4645101', '4645102', '4645103', '4649499', '4664800', '4712100', '4751201', '4754701', '4761002', '4761003', '4763602', '4773300', '7739002'];-19.9227318;-43.9450948;0.8253345524770843;Região Geográfica Intermediária de Belo Horizonte
376;R5 DISTRIBUIDORA E REPRESENTACAO DE IMPLANTES ORTOPEDICOS LT;R5 DISTRIBUIDORA;13500040;32324656000156;2021-01-08 12:18:54;52597.77;0.0;0.22413793103448276;2018-12-28T00:00:00;10000;Sociedade Empresária Limitada;01;['4645101', '4773300', '8650099', '7729203', '4618402'];-22.4100108;-47.5603933;0.6965564499810553;Região Geográfica Intermediária de Campinas
377;HJE MEDICAL LTDA;OPLIFE;74250290;12127487000157;2021-01-08 12:20:14;5086.8;0.0;1.1428571428571428;2010-06-11T00:00:00;2164874;Sociedade Empresária Limitada;01;['4645101', '4773300'];-16.680882;-49.2532691;0.7760760121759278;Região Geográfica Intermediária de Goiânia
378;VETTORE COMERCIO DE MATERIAIS MEDICOS LTDA;VETTORE;70390150;33746675000133;2021-01-08 12:21:26;7942.62;0.0;0.6666666666666666;2019-05-28T00:00:00;150000;Sociedade Empresária Limitada;01;['4645101', '4664800', '7739002'];-15.7934036;-47.8823172;0.79050209029916;Região Geográfica Intermediária do Distrito Federal
379;HAKA CIRURGICA LTDA;HAKA CIRURGICA LTDA;14021613;21187655000190;2021-01-08 12:23:41;63873.48;0.0;0.6097560975609756;2014-10-08T00:00:00;200000;Sociedade Empresária Limitada;03;['4645101', '4618402', '4664800', '7739002', '8650099'];-21.178333;-47.8066671;0.7571000308973752;Região Geográfica Intermediária de Ribeirão Preto
380;NUVAX COMERCIO DE MATERIAIS CIRURGICOS LTDA;NUVAX IMPLANTES;18020216;04086606000142;2021-01-08 12:25:01;435133.65;0.0;0.3147410358565737;2000-09-29T00:00:00;2000;Sociedade Empresária Limitada;01;['4645101', '7739002', '8299799'];-23.5003451;-47.4582864;0.6590725556566294;Região Geográfica Intermediária de Sorocaba
381;ANGEL CARE SOLUCOES E INOVACOES PARA MEDICINA LTDA;ANGEL CARE - HEALTHCARE SOLUTIONS;04570000;08800570000178;2021-01-08 12:26:06;10204.0;0.0;0.5555555555555556;2007-02-27T00:00:00;1380000;Sociedade Empresária Limitada;05;['4645101', '5211799', '4773300', '4930202', '4930201', '7739002', '7020400', '8599604', '3319800', '8219999'];-23.5506507;-46.6333824;0.8861749119420277;Região Geográfica Intermediária de São Paulo
382;TRAUMINAS DISTRIBUIDORA DE MATERIAIS CIRURGICOS HOSPITALARES;TRAUMINAS DISTRIBUIDORA DE MATERIAIS CIRURGICOS HOSPITALARES;30411040;41721051000190;2021-01-08 14:17:53;179154.29;0.0;0.5066666666666667;1991-11-28T00:00:00;5000160;Sociedade Anônima Fechada;05;['4773300', '3312103', '4645101', '4645102', '4645103', '4664800', '4930202', '7739002'];-19.9227318;-43.9450948;0.8253345524770843;Região Geográfica Intermediária de Belo Horizonte
391;BIO 2 IMP E COM DE MAT MED HOSPITALARES;BIO 2;04103000;01559403000138;2021-01-13 10:13:57;4949.73;0.0;0.3333333333333333;1996-11-20T00:00:00;600000;Sociedade Empresária Limitada;05;['4645102', '4645101', '7739002', '4930201', '5211799'];-23.5506507;-46.6333824;0.8861749119420277;Região Geográfica Intermediária de São Paulo
393;FDS COM. DE MATERIAL HOSPITALAR LTDA ME;MEDICAL LINE;22775022;16622463000125;2021-01-13 17:17:07;378517.36;13.543461538461539;34.67307692307692;2012-07-11T00:00:00;500000;Sociedade Empresária Limitada;05;['4645101', '4619200'];-22.9110137;-43.2093727;1.015262735848676;Região Geográfica Intermediária do Rio de Janeiro
397;ANA PAULA MARQUES CUNHA EIRELI;COMERCIAL ORTOSAN;68040075;12812123000106;2021-01-15 13:59:05;20700.67;3.518;0.5;2010-10-28T00:00:00;100000;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);03;['4645101', '4645102', '4773300', '7739002'];-2.438489;-54.699611;0.6843920550452252;Região Geográfica Intermediária de Santarém
402;SAO PAULO SURGICAL COMERCIO DE MATERIAL HOSPITALAR LTDA;SAO PAULO SURGICAL;04571010;28537797000180;2021-01-20 13:47:08;118209.95;0.0;-0.7227722772277227;2017-08-30T00:00:00;4000000;Sociedade Empresária Limitada;05;['4645101', '3312103', '4618402', '4619200', '4930201', '7729203', '7739002'];-23.5506507;-46.6333824;0.8861749119420277;Região Geográfica Intermediária de São Paulo
401;OPERA MATERIAIS CIRURGICOS LTDA;OPERA;58040500;07389284000280;2021-01-19 16:00:39;0.0;0.0;0.0;2010-09-27T00:00:00;34205013;Sociedade Empresária Limitada;05;['4645101', '4618401', '4618402', '4637199', '4644301', '4645102', '5250801', '8650007'];-6.97324;-34.8351609;0.5390997697181233;Região Geográfica Intermediária de João Pessoa
406;EASY INTER- MEDICAL SOLUCOES PARA MEDICINA LTDA;INTERMEDICA;29160435;23674480000171;2021-01-21 15:22:17;55258.58;6.402916666666667;2.774193548387097;2015-11-16T00:00:00;200000;Sociedade Empresária Limitada;01;['4645102', '7739002', '4645101', '4649408', '4618402'];-20.1252961;-40.3064477;0.6559929563674562;Região Geográfica Intermediária de Vitória
416;SAFE IMPLANTES, PRODUTOS MEDICOS, HOSPITALARES LTDA EPP;SAFE IMPLANTES;71705535;20009257000111;2021-01-27 07:23:57;9909.61;0.0;0.5833333333333334;2014-03-20T00:00:00;100000;Sociedade Empresária Limitada;01;['4645101', '7739002'];-15.7934036;-47.8823172;0.79050209029916;Região Geográfica Intermediária do Distrito Federal
420;LITORAL MEDIC COMERCIO, DISTRIBUIÇÃO E LOCAÇÃO DE MATERIAIS;LITORAL MEDIC COMERCIO, DISTRIBUIÇÃO E LOCAÇÃO DE MATERIAIS;11701200;22320182000110;2021-01-29 10:20:13;201854.5;0.0;-0.18064516129032257;2015-04-24T00:00:00;200000;Sociedade Empresária Limitada;03;['4645101', '7739002'];-24.005833;-46.402778;0.7145404174304875;Região Geográfica Intermediária de São Paulo
421;SD-IMPLANT-DISTRIBUIDORA DE PRODUTOS MEDICOS, HOSPITALARES,;SD-IMPLANT-DISTRIBUIDORA DE PROD. MEDICOS, HOSPITALARES;11025000;23600897000190;2021-01-29 11:42:06;10042.42;11.601666666666667;-0.3333333333333333;2015-11-04T00:00:00;100000;Sociedade Empresária Limitada;03;['4645101', '4773300', '7739002'];-23.960833;-46.333889;0.6820266133077482;Região Geográfica Intermediária de São Paulo
427;LAVITAL MATERIAIS CIRURGICOS EIRELI;LAVITAL;31744145;35042280000185;2021-02-02 13:51:03;33570.57;0.0;-0.6666666666666666;2019-10-01T00:00:00;100000;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);01;['4645101', '4618402', '4773300', '7729203', '7739002', '8211300', '8650099'];-19.9227318;-43.9450948;0.8253345524770843;Região Geográfica Intermediária de Belo Horizonte
428;OPME SOLUTION COMERCIO, IMPORTAÇÃO E EXPORTAÇÃO DE EQUIPAMEN;OPME SOLUTION;13500190;23246510000149;2021-02-03 09:43:40;18492.29;0.4234375;-0.4838709677419355;2015-09-10T00:00:00;78800;Sociedade Empresária Limitada;01;['4773300', '3319800', '4645101', '4645102', '4647801', '4649404', '4651602', '4664800', '5320201', '7020400', '7319003', '7729203', '7739002', '8650099'];-22.4100108;-47.5603933;0.6965564499810553;Região Geográfica Intermediária de Campinas
429;PLUS MED DISTRIBUIDORA E IMPORTADORA DE PRODUTOS MEDICOS LTD;PLUS MED DISTRIBUIDORA E IMPORTADORA DE PRODUTOS MEDICOS LTD;24030127;36313277000111;2021-02-03 15:33:51;12693.35;0.6516666666666666;0.2222222222222222;2020-02-10T00:00:00;220000;Sociedade Empresária Limitada;01;['4645101', '4645102', '4645103', '4664800'];-22.8884;-43.1147;0.6404045092560787;Região Geográfica Intermediária do Rio de Janeiro
437;BIO LIFE SURGICAL COMERCIO IMPORTACAO E EXPORTACAO DE PRODUT;BIO LIFE SURGICAL COMERCIO IMPORTACAO E EXPORTACAO DE PRODU;09510101;30607541000143;2021-02-10 20:32:11;30431.97;10.922727272727272;2.727272727272727;2018-06-04T00:00:00;95400;Sociedade Empresária Limitada;01;['4645101', '4930202'];-23.6195923;-46.5688323;0.9335917759620855;Região Geográfica Intermediária de São Paulo
295;RIO SURGICAL COMERCIO DE MATERIAL HOSPITALAR LTDA;RIO SURGICAL COMERCIO DE MATERIAL HOSPITALAR LTDA;28897060;28133851000121;0;20000.98;0.0;0.2608695652173913;2017-07-07T00:00:00;3000000;Sociedade Empresária Limitada;05;['4645101', '3312103', '4618402', '4619200', '4930201', '7729203', '7739002'];-22.5269448;-41.944972;0.7086649265364069;Região Geográfica Intermediária de Macaé-Rio das Ostras-Cabo Frio
296;ROVER DISTRIBUIDORA DE PRODUTOS PARA SAUDE EIRELI;ROVER DISTRIBUIDORA DE PRODUTOS PARA SAUDE EIRELI;09732550;12022484000159;0;129981.87;0.0017419354838709678;0.5273972602739726;2010-03-05T00:00:00;500000;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);05;['4645101', '4664800', '4930202', '7729203'];-23.7080345;-46.5506747;0.9473917598218753;Região Geográfica Intermediária de São Paulo
297;RPM COMERCIO DE MATERIAL HOSPITALAR LTDA;RPM COMERCIO DE MATERIAL HOSPITALAR LTDA;22631370;40396103000137;0;7801.91;0.0;0.3333333333333333;1992-02-11T00:00:00;6000000;Sociedade Empresária Limitada;05;['4645102', '4645101', '4618402', '6810201'];-22.9110137;-43.2093727;1.015262735848676;Região Geográfica Intermediária do Rio de Janeiro
298;RR PARAFUSOS,FERRAGENS E FERRAMENTAS LTD;RR PARAFUSOS,FERRAGENS E FERRAMENTAS LTD;13484339;74469446000104;0;0.0;0.0;0.0;1994-03-07T00:00:00;300000;Sociedade Empresária Limitada;05;['4744001', '4663000', '4669999', '4713002', '4744002', '4744003', '4744099', '4753900', '4754701', '4754702', '4754703', '4759899'];-22.5615068;-47.401766;0.6485694768247089;Região Geográfica Intermediária de Campinas
299;SAFE MEDICAL PRODUTOS HOSPITALARES LTDA ME;SAFE MEDICAL PRODUTOS HOSPITALARES LTDA ME;79012557;14197433000193;0;84835.89;3.2257894736842103;-0.4266666666666667;2011-08-29T00:00:00;330000;Sociedade Empresária Limitada;05;['7739002', '4645101', '4772500', '4773300', '8219999'];-20.4640173;-54.6162947;0.6994004992171496;Região Geográfica Intermediária de Campo Grande
300;SAFEMEDIC PROD.MEDICOS HOSPITALARES LTDA EPP;SAFEMEDIC PROD.MEDICOS HOSPITALARES LTDA EPP;50070495;10456298000100;0;0.0;0.0;0.0;2008-10-30T00:00:00;200000;Sociedade Empresária Limitada;03;['4645101', '4930202'];-8.0584933;-34.8848193;0.808392227578355;Região Geográfica Intermediária do Recife
301;SCHOBELL INDUSTRIAL LTDA;SCHOBELL INDUSTRIAL LTDA;13505650;58193483000178;0;29756.16;0.0;2.0;1987-10-26T00:00:00;3414000;Sociedade Empresária Limitada;05;['3250701', '2660400', '3319800', '4645101', '4645103', '4649408', '4789005', '8599604'];-22.4100108;-47.5603933;0.6965564499810553;Região Geográfica Intermediária de Campinas
302;SIGMA COMERCIO E LOCACAO DE MATERIAIS CIRURGICOS EIRELI;SIGMA COMERCIO E LOCACAO DE MATERIAIS CIRURGICOS EIRELI;09510101;25203009000120;0;62501.7;23.966527777777777;3.90625;2016-07-14T00:00:00;93700;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);01;['4773300', '4645101', '7739002'];-23.6195923;-46.5688323;0.9335917759620855;Região Geográfica Intermediária de São Paulo
303;SINNERGY IMPORTACAO E EXPORTACAO LTDA;SINNERGY IMPORTACAO E EXPORTACAO LTDA;04531913;08243351000135;0;134145.63;0.2471764705882353;0.46835443037974683;2006-03-23T00:00:00;2500000;Sociedade Empresária Limitada;05;['4645102', '7490199'];-23.5506507;-46.6333824;0.8861749119420277;Região Geográfica Intermediária de São Paulo
304;SINTEX MEDICAL IMPLANT BIOMEDICA COMERCIAL LTDA;SINTEX MEDICAL IMPLANT BIOMEDICA COMERCIAL LTDA;22640100;09588130000161;0;95491.2;0.0;0.38181818181818183;2008-04-24T00:00:00;5122750;Sociedade Empresária Limitada;05;['4645101', '3312103', '3321000', '4618402', '4619200', '4645103', '4646001', '4646002', '4649408', '4663000', '4664800', '4669999', '7020400', '7729203', '7739002', '7739099', '8299799'];-22.9110137;-43.2093727;1.015262735848676;Região Geográfica Intermediária do Rio de Janeiro
305;SIRIUS MEDICAL, COMERCIO DE PRODUTOS MEDICOS LTDA;SIRIUS MEDICAL, COMERCIO DE PRODUTOS MEDICOS LTDA;71200030;29912285000119;0;175378.14;0.2582325581395349;0.390625;2018-03-12T00:00:00;250000;Sociedade Empresária Limitada;01;['4645101', '3312103', '4930201'];-15.7934036;-47.8823172;0.79050209029916;Região Geográfica Intermediária do Distrito Federal
306;SOLUCAO IMPLANTES ART.MEDICOS HOSPITALARES LTDA;SOLUCAO IMPLANTES ART.MEDICOS HOSPITALARES LTDA;76804021;25370077000184;0;78882.61;0.07376146788990826;0.5476190476190477;2016-08-04T00:00:00;100000;Sociedade Empresária Limitada;01;['4645102', '4645101', '4773300', '7729203', '7739002', '7820500', '8211300'];-8.7494525;-63.8735438;0.7599142113711119;Região Geográfica Intermediária de Porto Velho
307;SOLUTION ORTHOPEDIC EQUIPAMENTOS MEDICOS LTDA;SOLUTION ORTHOPEDIC EQUIPAMENTOS MEDICOS LTDA;13345002;05416353000190;0;8530.77;1.798181818181818;3.2222222222222223;2002-11-18T00:00:00;2000000;Sociedade Empresária Limitada;05;['4773300', '4618402', '4645101', '4664800', '4930201', '4930202'];-23.09028;-47.21806;0.6289461142330656;Região Geográfica Intermediária de Campinas
308;SOMUS COMERCIO DE PRODUTOS MEDICOS LTDA EPP;SOMUS COMERCIO DE PRODUTOS MEDICOS LTDA EPP;79032070;26615197000167;0;23129.67;1.95375;0.5769230769230769;2016-11-28T00:00:00;30000;Sociedade Empresária Limitada;03;['4645101', '7739002'];-20.4640173;-54.6162947;0.6994004992171496;Região Geográfica Intermediária de Campo Grande
309;SP INTERVENTION LTDA;SP INTERVENTION LTDA;04707000;05364767000113;0;77962.39;0.0023275862068965515;0.6339285714285714;2002-10-31T00:00:00;100000;Sociedade Empresária Limitada;05;['4645101', '4618402', '7739002', '7739099', '7729203', '6202300', '6203100', '4651601', '4652400', '6190601', '6319400', '4664800', '6209100', '4645102', '4649408', '4930201', '4930202'];-23.5506507;-46.6333824;0.8861749119420277;Região Geográfica Intermediária de São Paulo
310;SP OSTEO DISTRIBUIDORA DE PRODUTOS PARA A SAUDE LTDA - ME;SP OSTEO DISTRIBUIDORA DE PRODUTOS PARA A SAUDE LTDA - ME;09550250;19966249000184;0;0.0;0.0;0.0;2014-03-23T00:00:00;50000;Sociedade Empresária Limitada;01;['4645101', '7739002', '7319003', '4614100'];-23.6195923;-46.5688323;0.9335917759620855;Região Geográfica Intermediária de São Paulo
311;SPINE HEAD COM. DE PRODUTOS HOSPITALARES LTDA ME;SPINE   HEAD COM. DE PRODUTOS HOSPITALARES LTDA ME;07012020;13534218000178;0;13332.68;8.741111111111111;1.3333333333333333;2011-04-13T00:00:00;30000;Sociedade Empresária Limitada;01;['4645101', '7739002'];-23.4430602;-46.524459;0.6514267360613204;Região Geográfica Intermediária de São Paulo
312;SPINE HEALTH REPRESENTACAO IMP.E DIST.MAT. HOSPITALARES EIRE;SPINE HEALTH REPRESENTACAO IMP.E DIST.MAT. HOSPITALARES EIRE;13073030;23106462000193;0;2403.0;0.0;0.6666666666666666;2015-08-20T00:00:00;80000;Sociedade Empresária Limitada;05;['4618402', '4645101'];-22.90556;-47.06083;0.6952501718956622;Região Geográfica Intermediária de Campinas
313;SPINE SYS IMP. EXP. E COM. DE IMPLANTES ORTOPEDICOS LTDA;SPINE SYS IMP. EXP. E COM. DE IMPLANTES ORTOPEDICOS LTDA;13500142;14239857000173;0;120946.81;0.0;-0.17647058823529413;2011-06-30T00:00:00;40000;Sociedade Empresária Limitada;03;['4645101', '7729203', '8650099'];-22.4100108;-47.5603933;0.6965564499810553;Região Geográfica Intermediária de Campinas
314;SPM COMERCIO DE PRODUTOS MEDICOS EIRELI;SPM COMERCIO DE PRODUTOS MEDICOS EIRELI;09750030;10426846000141;0;364986.89;0.0;0.29464285714285715;2008-09-24T00:00:00;1744232;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);03;['4645101', '7729203'];-23.7080345;-46.5506747;0.9473917598218753;Região Geográfica Intermediária de São Paulo
315;STARK COMERCIAL ODONTO-MEDICA LTDA;STARK COMERCIAL ODONTO-MEDICA LTDA;06472002;02116734000166;0;329421.83;0.0;0.04040404040404041;1997-09-03T00:00:00;250000;Sociedade Empresária Limitada;03;['4645101', '4930202', '8299799', '3319800'];-23.5112184;-46.8764612;0.6416771669594372;Região Geográfica Intermediária de São Paulo
316;STARMED SAUDE E COMERCIO EIRELI ME;STARMED SAUDE E COMERCIO EIRELI ME;29056260;11768448000176;0;145434.79;0.13230263157894737;-0.2708333333333333;2010-03-22T00:00:00;200000;Sociedade Empresária Limitada;01;['4645101', '3312103', '4619200', '4773300', '7739002', '8650006'];-20.3200917;-40.3376682;0.7335766045251444;Região Geográfica Intermediária de Vitória
317;STEEL SURGICAL COMERCIO DE MATERIAIS CIRURGICOS LTDA;STEEL SURGICAL COMERCIO DE MATERIAIS CIRURGICOS LTDA;09531195;07597405000106;0;148878.49;0.20553846153846153;-0.9262295081967213;2005-07-26T00:00:00;900000;Sociedade Empresária Limitada;05;['4645102', '4645101', '7490104'];-23.6195923;-46.5688323;0.9335917759620855;Região Geográfica Intermediária de São Paulo
318;SUMMIT ORTHOPEDICS COM. IMP. E EXP. DE PROD. MED. E IMP. ORT;SUMMIT ORTHOPEDICS COM. IMP. E EXP. DE PROD. MED. E IMP. ORT;18030050;07196307000159;0;22924.55;0.0;-0.25;2005-01-27T00:00:00;10000;Sociedade Empresária Limitada;05;['4645101', '4773300', '7490199', '4618402', '8599604'];-23.5003451;-47.4582864;0.6590725556566294;Região Geográfica Intermediária de Sorocaba
319;SURGICAL MED MATERIAIS HOSPITALARES LTDA;SURGICAL MED MATERIAIS HOSPITALARES LTDA;41925175;22628503000149;0;725.88;3.47;1.0;2015-06-11T00:00:00;30000;Sociedade Empresária Limitada;03;['4645101'];-12.9822499;-38.4812772;0.7916395518776811;Região Geográfica Intermediária de Salvador
320;SURGICARE COMERCIO DE PRODUTOS CIRURGICOS LTDA EPP;SURGICARE COMERCIO DE PRODUTOS CIRURGICOS LTDA EPP;13140729;17921554000124;0;77773.64;1.3219;1.0506329113924051;2013-04-12T00:00:00;150000;Sociedade Empresária Limitada;05;['4645101', '4619200', '4664800', '7739002', '5250805', '8599604', '7020400', '8660700'];-22.7630391;-47.1532213;0.6114009521887397;Região Geográfica Intermediária de Campinas
321;TECNO TOOLS FERRAMENTAS E ABRASIVOS LTDA;TECNO TOOLS FERRAMENTAS E ABRASIVOS LTDA;13311140;55297253000160;0;0.0;0.0;0.0;1986-01-16T00:00:00;6645000;Sociedade Empresária Limitada;05;['2840200', '2539001', '2949299', '4649403', '4763605'];-23.2638828;-47.298892;0.631055921429882;Região Geográfica Intermediária de Sorocaba
322;TG COMERCIO E IMPORTACAO DE MATERIAL MEDICO LTDA;TG COMERCIO E IMPORTACAO DE MATERIAL MEDICO LTDA;65075038;07756311000124;0;68867.42;0.0;-1.65;2005-12-22T00:00:00;100000;Sociedade Empresária Limitada;05;['4645101', '4618402', '4789099', '4930201', '4930202'];-2.5295265;-44.2963942;0.8451598477333496;Região Geográfica Intermediária de São Luís
323;TOP SURGICAL COMERCIO DE MATERIAIS CIRURGICOS LTDA;TOP SURGICAL COMERCIO DE MATERIAIS CIRURGICOS LTDA;09530401;18770423000156;0;17690.43;1.2642857142857142;-3.357142857142857;2013-08-28T00:00:00;110000;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);01;['4645101', '3319800', '4618402', '7729203'];-23.6195923;-46.5688323;0.9335917759620855;Região Geográfica Intermediária de São Paulo
325;UNIAO MEDICA COMERCIO DE PRODUTOS HOSPITALARES LTDA - EPP;UNIAO MEDICA COMERCIO DE PRODUTOS HOSPITALARES LTDA - EPP;70760706;10494677000187;0;24554.69;0.0;-0.45454545454545453;2008-11-21T00:00:00;10000;Sociedade Empresária Limitada;05;['4645101', '4930202', '7739002', '8650099'];-15.7934036;-47.8823172;0.79050209029916;Região Geográfica Intermediária do Distrito Federal
326;UNIDADE DE ESTERILIZACAO COTIA;UNIDADE DE ESTERILIZACAO COTIA;06705140;45789724000285;0;0.0;0.0;0.0;1982-01-08T00:00:00;27164527;Sociedade Empresária Limitada;05;['3250701', '1099699', '2122000', '2063100', '2123800', '1066000', '3250705', '8129000', '8640205', '7210000', '7490199', '5211799', '7120100', '6462000'];-23.603889;-46.918889;0.6203444751264137;Região Geográfica Intermediária de São Paulo
327;UNIDRIVE EQUIP. ELETRONICOS E COM. SERV;UNIDRIVE EQUIP. ELETRONICOS E COM. SERV;05057050;04530313000102;0;0.0;0.0;0.0;2001-06-28T00:00:00;1200;Sociedade Empresária Limitada;01;['4789099'];-23.5506507;-46.6333824;0.8861749119420277;Região Geográfica Intermediária de São Paulo
328;UNIMEK S/A;UNIMEK;71200260;04925446000188;0;303152.0;0.8124908424908425;0.7950819672131147;2002-03-04T00:00:00;800000;Sociedade Anônima Fechada;05;['4773300', '4645101', '4789005', '5211701', '5211799', '7739002', '8292000', '8640208', '8650099'];-15.7934036;-47.8823172;0.79050209029916;Região Geográfica Intermediária do Distrito Federal
329;VERITAS COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA ME;VERITAS COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA ME;04045003;16972824000163;0;59274.63;4.3432051282051285;1.8533333333333333;2012-08-14T00:00:00;610000;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);01;['4645101', '7739002', '7490199'];-23.5506507;-46.6333824;0.8861749119420277;Região Geográfica Intermediária de São Paulo
330;VERTICAL RIO COM. DE PRODUTOS MEDICOS LTDA;VERTICAL RIO COM. DE PRODUTOS MEDICOS LTDA;22775044;13123772000162;0;19872.0;0.0;-0.3333333333333333;2011-01-18T00:00:00;500000;Sociedade Empresária Limitada;05;['4645101', '4618402', '4637199', '4639701', '4664800', '4729699'];-22.9110137;-43.2093727;1.015262735848676;Região Geográfica Intermediária do Rio de Janeiro
331;VERTICE COMERCIO DE MATERIAIS MEDICOS E HOSPITALARES LTDA;VERTICE COMERCIO DE MATERIAIS MEDICOS E HOSPITALARES LTDA;07012020;14033570000192;0;14506.54;0.0005;0.3;2010-11-23T00:00:00;80000;Sociedade Empresária Limitada;01;['4645101', '7739002'];-23.4430602;-46.524459;0.6514267360613204;Região Geográfica Intermediária de São Paulo
